Iter,Best_Result
0,2005
1,2003
2,2003
3,2003
4,2003
5,2003
6,2003
7,2003
8,2003
9,2003
10,2003
11,2003
12,2003
13,2003
14,2003
15,2003
16,2003
17,2003
18,2003
19,2003
20,2003
21,2003
22,2003
23,2003
24,2003
25,2003
26,2003
27,2003
28,2003
29,2003
30,2003
31,2003
32,2003
33,2003
34,2003
35,2003
36,2003
37,1010.1710503116874
38,1010.1710503116874
39,1010.1710503116874
40,1010.1710503116874
41,1010.1710503116874
42,1010.1710503116874
43,1010.1710503116874
44,1010.1710503116874
45,1010.1710503116874
46,1010.1710503116874
47,1010.1710503116874
48,1010.1710503116874
49,1010.1710503116874
50,1010.1710503116874
51,1010.1710503116874
52,1010.1710503116874
53,1010.1710503116874
54,1010.1710503116874
55,1010.1710503116874
56,1010.1710503116874
57,1010.1710503116874
58,1010.1710503116874
59,1010.1710503116874
60,1010.1710503116874
61,1010.1710503116874
62,1010.1710503116874
63,1010.1710503116874
64,1010.1710503116874
65,1010.1710503116874
66,1010.1710503116874
67,1010.1710503116874
68,1010.1710503116874
69,1010.1710503116874
70,1010.1710503116874
71,1010.1710503116874
72,1010.1710503116874
73,1010.1710503116874
74,1010.1710503116874
75,1010.1710503116874
76,1010.1710503116874
77,1010.1710503116874
78,1010.1710503116874
79,1010.1710503116874
80,1010.1710503116874
81,1010.1710503116874
82,1010.1710503116874
83,1010.1710503116874
84,1010.1710503116874
85,1010.1710503116874
86,1010.1710503116874
87,1010.1710503116874
88,1010.1710503116874
89,1010.1710503116874
90,1010.1710503116874
91,1010.1710503116874
92,1010.1710503116874
93,1010.1710503116874
94,1010.1710503116874
95,1010.1710503116874
96,1010.1710503116874
97,1010.1710503116874
98,1010.1710503116874
99,1010.1710503116874
