Iter,Best_Result
0,354.022942266
1,354.022942266
2,354.022942266
3,352.664661059
4,352.664661059
5,352.664661059
6,291.406557702
7,291.406557702
8,289.44948993200006
9,286.18317739
10,280.2165214189999
11,280.2165214189999
12,266.955090303
13,266.955090303
14,266.955090303
15,266.955090303
16,266.955090303
17,259.075952776
18,259.075952776
19,259.075952776
20,259.075952776
21,259.075952776
22,259.075952776
23,259.075952776
24,259.075952776
25,259.075952776
26,259.075952776
27,259.075952776
28,259.075952776
29,259.075952776
30,259.075952776
31,259.075952776
32,259.075952776
33,259.075952776
34,259.075952776
35,259.075952776
36,259.075952776
37,259.075952776
38,259.075952776
39,259.075952776
40,259.075952776
41,259.075952776
42,259.075952776
43,259.075952776
44,259.075952776
45,259.075952776
46,259.075952776
47,259.075952776
48,259.075952776
49,259.075952776
50,259.075952776
51,259.075952776
52,259.075952776
53,259.075952776
54,259.075952776
55,259.075952776
56,259.075952776
57,259.075952776
58,259.075952776
59,259.075952776
60,259.075952776
61,259.075952776
62,259.075952776
63,259.075952776
64,259.075952776
65,259.075952776
66,259.075952776
67,259.075952776
68,259.075952776
69,259.075952776
70,259.075952776
71,259.075952776
72,259.075952776
73,259.075952776
74,259.075952776
75,259.075952776
76,259.075952776
77,259.075952776
78,259.075952776
79,259.075952776
80,259.075952776
81,259.075952776
82,259.075952776
83,259.075952776
84,259.075952776
85,259.075952776
86,259.075952776
87,259.075952776
88,259.075952776
89,259.075952776
90,259.075952776
91,259.075952776
92,259.075952776
93,259.075952776
94,259.075952776
95,259.075952776
96,259.075952776
97,259.075952776
98,259.075952776
99,259.075952776
100,259.075952776
101,259.075952776
102,259.075952776
103,259.075952776
104,259.075952776
105,259.075952776
106,259.075952776
107,259.075952776
108,259.075952776
109,259.075952776
110,259.075952776
111,259.075952776
112,259.075952776
113,259.075952776
114,259.075952776
115,227.63389933399998
116,227.63389933399998
117,218.417511066
118,218.417511066
119,218.417511066
120,218.417511066
121,210.065484473
122,210.065484473
123,210.065484473
124,208.991528453
125,208.991528453
126,208.683540472
127,208.683540472
128,208.683540472
129,208.683540472
130,208.683540472
131,208.683540472
132,208.683540472
133,208.683540472
134,208.683540472
135,208.683540472
136,208.683540472
137,208.683540472
138,208.683540472
139,208.683540472
140,206.176402525
141,206.176402525
142,206.176402525
143,204.51938846299998
144,204.51938846299998
145,204.51938846299998
146,204.51938846299998
147,201.548395873
148,201.548395873
149,201.548395873
150,201.548395873
151,201.548395873
152,201.548395873
153,192.33672314499998
154,192.33672314499998
155,192.33672314499998
156,179.41089358
157,179.41089358
158,179.41089358
159,179.41089358
160,179.41089358
161,179.146663868
162,179.146663868
163,179.146663868
164,179.146663868
165,179.146663868
166,177.52771093599998
167,177.52771093599998
168,177.52771093599998
169,177.52771093599998
170,177.52771093599998
171,177.52771093599998
172,177.52771093599998
173,177.52771093599998
174,177.52771093599998
175,177.52771093599998
176,177.52771093599998
177,177.52771093599998
178,177.52771093599998
179,177.52771093599998
180,177.52771093599998
181,177.52771093599998
182,177.52771093599998
183,177.52771093599998
184,177.52771093599998
185,177.52771093599998
186,177.52771093599998
187,177.52771093599998
188,177.52771093599998
189,177.52771093599998
190,177.52771093599998
191,177.52771093599998
192,177.52771093599998
193,177.52771093599998
194,177.52771093599998
195,177.52771093599998
196,177.52771093599998
197,177.52771093599998
198,177.52771093599998
199,177.52771093599998
200,177.52771093599998
