Iter,Best_Result
0,5329.79844675
1,3397.6536708500003
2,1529.2732908949997
3,599.53784887
4,595.211756752
5,595.211756752
6,595.211756752
7,595.211756752
8,580.57246477
9,577.708992826
10,577.708992826
11,577.708992826
12,577.708992826
13,577.708992826
14,577.708992826
15,577.708992826
16,577.708992826
17,577.708992826
18,577.708992826
19,577.708992826
20,566.287785096
21,566.287785096
22,560.406604917
23,560.406604917
24,560.406604917
25,560.406604917
26,560.406604917
27,560.406604917
28,560.406604917
29,560.406604917
30,560.406604917
31,560.406604917
32,560.406604917
33,560.406604917
34,560.406604917
35,560.406604917
36,560.406604917
37,560.406604917
38,560.406604917
39,560.406604917
40,560.406604917
41,560.406604917
42,560.406604917
43,560.406604917
44,560.406604917
45,560.406604917
46,484.1227238700001
47,484.1227238700001
48,484.1227238700001
49,470.415335033
50,470.415335033
51,470.415335033
52,470.415335033
53,458.994127303
54,458.994127303
55,458.994127303
56,458.994127303
57,458.994127303
58,458.994127303
59,441.569096824
60,441.569096824
61,441.569096824
62,441.569096824
63,441.569096824
64,441.569096824
65,441.569096824
66,441.569096824
67,441.569096824
68,441.569096824
69,441.569096824
70,441.569096824
71,441.569096824
72,441.569096824
73,441.569096824
74,441.569096824
75,441.569096824
76,441.569096824
77,412.0017969710001
78,405.24710425000006
79,405.24710425000006
80,397.75337313
81,397.75337313
82,397.75337313
83,397.75337313
84,397.75337313
85,397.75337313
86,397.75337313
87,397.75337313
88,397.75337313
89,397.75337313
90,397.75337313
91,397.75337313
92,397.75337313
93,397.75337313
94,397.75337313
95,397.75337313
96,397.75337313
97,397.75337313
98,397.75337313
99,397.75337313
100,397.75337313
101,397.75337313
102,397.75337313
103,397.75337313
104,397.75337313
105,397.75337313
106,397.75337313
107,397.75337313
108,397.75337313
109,397.75337313
110,397.75337313
111,397.75337313
112,397.75337313
113,397.75337313
114,397.75337313
115,397.75337313
116,397.75337313
117,397.75337313
118,397.75337313
119,397.75337313
120,397.75337313
121,397.75337313
122,397.75337313
123,397.75337313
124,397.75337313
125,397.75337313
126,397.75337313
127,397.75337313
128,397.75337313
129,397.75337313
130,397.75337313
131,397.75337313
132,397.75337313
133,397.75337313
134,397.75337313
135,397.75337313
136,397.75337313
137,397.75337313
138,397.75337313
139,397.75337313
140,397.75337313
141,397.75337313
142,397.75337313
143,397.75337313
144,397.75337313
145,397.75337313
146,397.75337313
147,397.75337313
148,397.75337313
149,397.75337313
150,397.75337313
151,397.75337313
152,397.75337313
153,397.75337313
154,397.75337313
155,397.75337313
156,397.75337313
157,397.75337313
158,397.75337313
159,397.75337313
160,397.75337313
161,397.75337313
162,397.75337313
163,397.75337313
164,397.75337313
165,397.75337313
166,397.75337313
167,397.75337313
168,397.75337313
169,397.75337313
170,397.75337313
171,397.75337313
172,397.75337313
173,397.75337313
174,397.75337313
175,397.75337313
176,397.75337313
177,397.75337313
178,397.75337313
179,397.75337313
180,397.75337313
181,397.75337313
182,397.75337313
183,397.75337313
184,397.75337313
185,397.75337313
186,397.75337313
187,397.75337313
188,397.75337313
189,397.75337313
190,397.75337313
191,397.75337313
192,397.75337313
193,397.75337313
194,397.75337313
195,397.75337313
196,397.75337313
197,397.75337313
198,397.75337313
199,397.75337313
200,397.75337313
201,397.75337313
202,397.75337313
203,397.75337313
204,397.75337313
205,397.75337313
206,397.75337313
207,397.75337313
208,397.75337313
209,397.75337313
210,397.75337313
211,397.75337313
212,397.75337313
213,397.75337313
214,397.75337313
215,397.75337313
216,397.75337313
217,397.75337313
218,397.75337313
219,397.75337313
220,397.75337313
221,397.75337313
222,397.75337313
223,397.75337313
224,397.75337313
225,397.75337313
226,397.75337313
227,397.75337313
228,397.75337313
229,397.75337313
230,397.75337313
231,397.75337313
232,397.75337313
233,397.75337313
234,397.75337313
235,397.75337313
236,397.75337313
237,397.75337313
238,397.75337313
239,397.75337313
240,397.75337313
241,397.75337313
242,397.75337313
243,397.75337313
244,397.75337313
245,397.75337313
246,397.75337313
247,397.75337313
248,397.75337313
249,397.75337313
250,397.75337313
251,397.75337313
252,397.75337313
253,397.75337313
254,397.75337313
255,397.75337313
256,397.75337313
257,397.75337313
258,397.75337313
259,397.75337313
260,397.75337313
261,397.75337313
262,397.75337313
263,397.75337313
264,397.75337313
265,397.75337313
266,397.75337313
267,397.75337313
268,397.75337313
269,397.75337313
270,397.75337313
271,397.75337313
272,397.75337313
273,397.75337313
274,397.75337313
275,397.75337313
276,397.75337313
277,397.75337313
278,397.75337313
279,397.75337313
280,397.75337313
281,397.75337313
282,397.75337313
283,397.75337313
284,397.75337313
285,397.75337313
286,397.75337313
287,397.75337313
288,397.75337313
289,397.75337313
290,397.75337313
291,397.75337313
292,397.75337313
293,397.75337313
294,397.75337313
295,397.75337313
296,397.75337313
297,397.75337313
298,397.75337313
299,397.75337313
300,397.75337313
301,397.75337313
302,397.75337313
303,397.75337313
304,397.75337313
305,397.75337313
306,397.75337313
307,397.75337313
308,397.75337313
309,397.75337313
310,397.75337313
311,397.75337313
312,397.75337313
313,397.75337313
314,397.75337313
315,397.75337313
316,397.75337313
317,397.75337313
318,397.75337313
319,397.75337313
320,397.75337313
321,397.75337313
322,397.75337313
323,397.75337313
324,397.75337313
325,397.75337313
326,397.75337313
327,397.75337313
328,397.75337313
329,397.75337313
330,397.75337313
331,397.75337313
332,397.75337313
333,397.75337313
334,397.75337313
335,397.75337313
336,397.75337313
337,397.75337313
338,397.75337313
339,397.75337313
340,397.75337313
341,397.75337313
342,397.75337313
343,397.75337313
344,397.75337313
345,397.75337313
346,397.75337313
347,397.75337313
348,397.75337313
349,397.75337313
350,397.75337313
351,397.75337313
352,397.75337313
353,397.75337313
354,397.75337313
355,397.75337313
356,397.75337313
357,397.75337313
358,397.75337313
359,397.75337313
360,397.75337313
361,397.75337313
362,397.75337313
363,397.75337313
364,397.75337313
365,397.75337313
366,397.75337313
367,397.75337313
368,397.75337313
369,397.75337313
370,397.75337313
371,397.75337313
372,397.75337313
373,397.75337313
374,397.75337313
375,397.75337313
376,397.75337313
377,397.75337313
378,397.75337313
379,397.75337313
380,397.75337313
381,397.75337313
382,397.75337313
383,397.75337313
384,397.75337313
385,397.75337313
386,397.75337313
387,397.75337313
388,397.75337313
389,397.75337313
390,397.75337313
391,397.75337313
392,397.75337313
393,397.75337313
394,397.75337313
395,397.75337313
396,397.75337313
397,397.75337313
398,397.75337313
399,397.75337313
400,397.75337313
401,397.75337313
402,397.75337313
403,397.75337313
404,397.75337313
405,397.75337313
406,397.75337313
407,397.75337313
408,397.75337313
409,397.75337313
410,397.75337313
411,397.75337313
412,397.75337313
413,397.75337313
414,397.75337313
415,397.75337313
416,397.75337313
417,397.75337313
418,397.75337313
419,397.75337313
420,397.75337313
421,397.75337313
422,397.75337313
423,397.75337313
424,397.75337313
425,397.75337313
426,397.75337313
427,397.75337313
428,397.75337313
429,397.75337313
430,397.75337313
431,397.75337313
432,397.75337313
433,397.75337313
434,397.75337313
435,397.75337313
436,397.75337313
437,397.75337313
438,397.75337313
439,397.75337313
440,397.75337313
441,397.75337313
442,397.75337313
443,397.75337313
444,397.75337313
445,397.75337313
446,397.75337313
447,397.75337313
448,397.75337313
449,397.75337313
450,397.75337313
451,397.75337313
452,397.75337313
453,397.75337313
454,397.75337313
455,397.75337313
456,397.75337313
457,397.75337313
458,397.75337313
459,397.75337313
460,397.75337313
461,397.75337313
462,397.75337313
463,397.75337313
464,397.75337313
465,397.75337313
466,397.75337313
467,397.75337313
468,397.75337313
469,397.75337313
470,397.75337313
471,397.75337313
472,397.75337313
473,397.75337313
474,397.75337313
475,397.75337313
476,397.75337313
477,397.75337313
478,397.75337313
479,397.75337313
480,397.75337313
481,397.75337313
482,397.75337313
483,397.75337313
484,397.75337313
485,397.75337313
486,397.75337313
487,397.75337313
488,397.75337313
489,397.75337313
490,397.75337313
491,397.75337313
492,397.75337313
493,397.75337313
494,397.75337313
495,397.75337313
496,397.75337313
497,397.75337313
498,397.75337313
499,397.75337313
500,397.75337313
501,397.75337313
502,397.75337313
503,397.75337313
504,397.75337313
505,397.75337313
506,397.75337313
507,397.75337313
508,397.75337313
509,397.75337313
510,397.75337313
511,397.75337313
512,397.75337313
513,397.75337313
514,397.75337313
515,397.75337313
516,397.75337313
517,397.75337313
518,397.75337313
519,397.75337313
520,397.75337313
521,397.75337313
522,397.75337313
523,397.75337313
524,397.75337313
